Funds,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Mahindra manulife mid cap fund,13.27,49.29,1.95,52.29,21.61,8.26,0.84,,,,,
Whiteoak capital mid cap fund direct  growth,8.16,43.99,0.79,,,,,,,,,
Tata mid cap growth fund,11.16,42.15,1.93,41.72,27.76,9.23,-13.33,49.01,-1.6,12.28,81.5,-0.2
Sundaram mid cap fund,8.53,41.53,5.81,41.07,14.14,1.4,-15.96,40.31,11.18,11.89,76.55,-2.37
Aditya birla sun life midcap fund,7.82,41.07,-4.48,51.71,19.09,-1.27,-16.16,44.63,6.06,11.48,74.1,-7.84
Edelweiss mid cap fund,11.13,40.44,3.99,52.46,30.29,8.51,-16.06,50.74,-1.47,,,
Dsp midcap fund,2.78,39.75,-3.98,29.58,26.41,11.57,-10.78,41.03,12.27,8.32,71.68,-6.5
Bandhan midcap fund,8.52,39.66,-1.06,,,,,,,,,
Taurus mid cap fund,8.53,38.84,7.11,33.17,26,1.97,-7.67,44.76,3.84,8.58,61.29,-7.48
Quant mid cap fund,21.83,36.4,19.94,53.84,48.48,-0.16,-1.15,29.65,-2.41,6.68,27.41,8.61
Mirae asset midcap fund,7.42,36.03,6.19,50.6,28.39,14.39,,,,,,
Invesco india midcap fund,12.17,35.85,1.98,45.23,27.7,6.63,-4.82,44.63,3.09,9.18,79.68,-1.17
Union midcap fund,8.94,34.21,-0.82,57.95,82.77,,,,,,,
Icici prudential midcap fund,12.93,33.88,4.12,46.14,22.71,1.49,-11.45,43.09,5.43,6.08,88.51,-1.95
Canara robeco mid cap fund,10.19,33.7,-1,,,,,,,,,
Uti mid cap fund,6.4,31.74,0.27,44.43,35.72,1.69,-15.7,41,3.84,7.66,91.77,1.91
Axis midcap fund,9.57,30.99,-3.87,41.79,29.03,13.77,3.09,41.44,-2.12,2.04,79.56,-3.2
Lic mf mid cap fund,7.69,19.31,,,,,,,,,,
