Funds,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Mahindra manulife small cap fund,12.86,60.02,-0.93,,,,,,,,,
Bandhan small cap fund,14.28,55.84,-4.59,55.09,51.5,,,,,,,
Franklin india smaller companies fund,9.51,53.47,4.42,57.68,19.7,-4.46,-17.68,43.98,11.52,11.3,91.8,5.02
Nippon india small cap fund,10.19,50.17,7.53,75.87,30.35,-0.17,-17.64,63.68,6.75,16.06,99.31,4.06
Quant small cap fund,18.17,48.04,11.19,91.7,76.13,-24.03,2.59,4.69,10.22,7.96,11.8,7.75
Sundaram small cap fund,6.95,46.91,-0.91,66.64,27.36,-5.78,-30.16,53.57,0.14,8.19,110.58,-12.68
Hdfc small cap fund,8.88,46.17,5.64,66.49,21.38,-8.7,-8.2,60.54,6.78,7.8,22.07,
Invesco india smallcap fund,10.14,46.1,0.91,64.98,26.84,5.68,3.17,,,,,
Edelweiss small cap fund,6.94,44.34,3.4,70.21,36.94,12.59,,,,,,
Union small cap fund,5.03,42.97,-0.02,68.82,31.1,2.17,-21.32,41.9,-2.23,3.03,21.38,
Bank of india small cap fund,10.31,42.84,0.1,73.69,55.11,6.27,0.3,,,,,
Dsp  small cap fund,5.69,42.45,1.36,60.3,34.32,1.44,-26.42,43.37,13.57,21.23,103.13,-4.28
Aditya birla sun life small cap fund,8.2,40.87,-5.49,52.88,21.23,-10.46,-22.96,56.4,10.56,14.32,67.94,-3.06
Icici prudential smallcap fund,5.94,39.48,7.17,63.29,24.68,10.12,-21.29,43.68,12.08,-0.81,48.43,1.85
Uti small cap fund,3.33,37.3,1.18,58.49,1.15,,,,,,,
Kotak Small Cap Fund,5.92,36.52,-1.72,73.47,36.14,6.22,-17.6,44.98,10.57,8.94,75.37,-12.4
Tata small cap fund,11.07,35.63,10.29,73.57,25.32,4.32,2.84,,,,,
Axis small cap fund,6.51,35.56,4.1,60.72,24.57,19.75,-8.91,38.24,5.13,10.92,86.53,1.3
Canara robeco small cap fund,7.18,34.1,8.64,73.82,44.27,-3.83,,,,,,
Sbi small cap fund,11.91,26.63,9.29,49.11,35.18,6.42,-20.81,77.83,2.65,22.29,112.77,4.79
Pgim india small cap fund,5.92,25.85,-3.47,13.92,,,,,,,,
Lic mf small cap fund,11.65,16,,,,,,,,,,
Quantum small cap fund,3.98,5.08,,,,,,,,,,
Motilal oswal small cap fund,11.51,,,,,,,,,,,
